id_text,source,target,Type,ancient_author,recipient
P334483,Mušezibu,Bel-šarru-uṣur,undirected,Nabu-šumu-iddina,
P334483,Bel-šarru-uṣur,Mušezibu,undirected,Nabu-šumu-iddina,
P334103,Issar-duri,Nabu-šumu-iddina,undirected,Issar-duri,
P334103,Issar-duri,Nabu-eriba,undirected,Issar-duri,
P334103,Issar-duri,Šamaš-belu-uṣur,undirected,Issar-duri,
P334103,Nabu-šumu-iddina,Nabu-eriba,undirected,Issar-duri,
P334103,Nabu-šumu-iddina,Šamaš-belu-uṣur,undirected,Issar-duri,
P334103,Nabu-eriba,Šamaš-belu-uṣur,undirected,Issar-duri,
P313617,Bel-ilaʾi,Aplaya,undirected,,
P334583,Šamaš-abu-uṣur,Raʾiwanu,undirected,Šamaš-abu-uṣur,
P334583,Šamaš-abu-uṣur,Bel-iddina,undirected,Šamaš-abu-uṣur,
P334583,Šamaš-abu-uṣur,Mar-Zeri,undirected,Šamaš-abu-uṣur,
P334583,Raʾiwanu,Bel-iddina,undirected,Šamaš-abu-uṣur,
P334583,Raʾiwanu,Mar-Zeri,undirected,Šamaš-abu-uṣur,
P334583,Bel-iddina,Mar-Zeri,undirected,Šamaš-abu-uṣur,
P313420,Il-yadaʾ,Aššur-belu-taqqin,undirected,Il-yadaʾ,
P334696,Gadya,Šulmu-bel-ašme,undirected,,
P334609,Aššur-belu-taqqin,Marduk-apla-iddina,undirected,Aššur-belu-taqqin,
P334609,Aššur-belu-taqqin,Ina-qibi-Bel-abluṭ,undirected,Aššur-belu-taqqin,
P334609,Aššur-belu-taqqin,Nabu-hamatua,undirected,Aššur-belu-taqqin,
P334609,Marduk-apla-iddina,Ina-qibi-Bel-abluṭ,undirected,Aššur-belu-taqqin,
P334609,Marduk-apla-iddina,Nabu-hamatua,undirected,Aššur-belu-taqqin,
P334609,Ina-qibi-Bel-abluṭ,Nabu-hamatua,undirected,Aššur-belu-taqqin,
P313444,Kalbi-Uku,Mar-Yakin,undirected,Il-yadaʾ,
P334648,Mar-Zeri,Teši-eṭir,undirected,,
P334648,Mar-Zeri,Badaya,undirected,,
P334648,Mar-Zeri,Yadiʾ,undirected,,
P334648,Teši-eṭir,Badaya,undirected,,
P334648,Teši-eṭir,Yadiʾ,undirected,,
P334648,Badaya,Yadiʾ,undirected,,
P334502,Issar-duri,Marduk-iddina,undirected,Issar-duri,
P334502,Issar-duri,Šamaš-ruqaya,undirected,Issar-duri,
P334502,Marduk-iddina,Šamaš-ruqaya,undirected,Issar-duri,
P334805,Issar-naʾdi,Nabu-ahu-uṣur,undirected,,
P334805,Issar-naʾdi,Aššur-remanni,undirected,,
P334805,Nabu-ahu-uṣur,Aššur-remanni,undirected,,
P313647,Nabu-belu-kaʾʾin,Belšunu,undirected,Nabu-belu-kaʾʾin,
P334344,Il-yadaʾ,Aššur-belu-taqqin,undirected,Il-yadaʾ,
P334344,Il-yadaʾ,Marduk-apla-iddina,undirected,Il-yadaʾ,
P334344,Aššur-belu-taqqin,Marduk-apla-iddina,undirected,Il-yadaʾ,
P334163,Sapiku,Aqaba,undirected,,
P334163,Sapiku,La-baši,undirected,,
P334163,Sapiku,Zaqiru,undirected,,
P334163,Sapiku,Bel-leʾi,undirected,,
P334163,Sapiku,Saʾeru,undirected,,
P334163,Sapiku,Marduk-šarru-uṣur,undirected,,
P334163,Sapiku,Eriba,undirected,,
P334163,Sapiku,Sin-duru-uṣur,undirected,,
P334163,Sapiku,Ata,undirected,,
P334163,Sapiku,Marduk-apla-iddina,undirected,,
P334163,Aqaba,La-baši,undirected,,
P334163,Aqaba,Zaqiru,undirected,,
P334163,Aqaba,Bel-leʾi,undirected,,
P334163,Aqaba,Saʾeru,undirected,,
P334163,Aqaba,Marduk-šarru-uṣur,undirected,,
P334163,Aqaba,Eriba,undirected,,
P334163,Aqaba,Sin-duru-uṣur,undirected,,
P334163,Aqaba,Ata,undirected,,
