transliteration,normalization,sign_names,remarks
{d}Inanna-ur-sag,Inanakursaŋ[]PN,AN MUŠ₃ UR SAG,
{d}Inanna-ur-sag-ta,Inanakursaŋ[]PN,AN MUŠ₃ UR SAG TA,
{d}Inanna-zi-da,Inanakzida[]PN,AN MUŠ₃ ZI DA,
{d}Inanna-zi-mu,Inanakziŋu[]PN,AN MUŠ₃ ZI MU,
{d}Inanna{ki},Inanak[]DN,AN MUŠ₃ KI,"part of AS 05, 06 year-name"
{d}Inim-ma-ni-zi,Inimanizid[]PN,AN KA MA NI ZI,
{d}Innana,Inanak[]DN,AN MUŠ₃,
{d}Innana-Unu{ki}-še₃,Inanak[]DN,AN MUŠ₃ AB@G KI EŠ₂,"part of AS 05, 06 year-name"
{d}Innana-še₃,Inanak[]DN,AN MUŠ₃ EŠ₂,
{d}Ir-ha-an-ša,Irhanša[]DN,AN IR HA AN ŠA,
{d}Istaran,Ištaran[]DN,AN ISTARAN,
{d}KI.KU.AD,{d}KI.KU.AD[]DN,AN KI KU AD,MVN 08 195 r 2 (copy)
{d}KU-KU,Kuku[]DN,AN KU KU,
{d}Kabta,Kabta[]DN,AN TA@G,SET 116 o 19 (TE@g?; no copy/photo)
{d}Kal-kal,Kalkal[]DN,AN KAL KAL,
{d}Ki-ur-sag-e-ne,Kiʾursaŋenek[]DN,AN KI UR SAG E NE,
{d}Ki-za,Kiza[]DN,AN KI ZA,
{d}Ku₃,{d}Kug.X[]DN,AN KU₃,MVN 13 099 r 10: 1 udu niga gu4-e us2-sa {d}Kug-x# (SU3?; copy/so photo)
{d}Ku₃-su₃,Kugsug[]DN,AN KU₃ SUD,
{d}Kur-ra-igi-gal₂,Kuraʾigiŋal[]DN,AN KUR RA IGI IG,
{d}LAMMA-sum,Lammassum[]DN,AN KAL SUM,
{d}LU₂.PIRIG,{d}LU₂.PIRIG[]DN,AN LU₂ PIRIG,MVN 20 204 o 8 (photo)
{d}LUM-ma,Lumma[]DN,AN LUM MA,
{d}La-az,Laz[]DN,AN LA |PIRIG×ZA|,Laṣ?
{d}Lamma,Lammar[]DN,AN KAL,
{d}Lamma-i₃-sa₆,Lammarisag[]PN,AN KAL NI ŠA₆,
