id_text,source,target,Type,ancient_author,recipient,dossier,senderloc,sender_title
P334499,Ilaʾi-Bel,Zeru-ibni,undirected,Zeru-ibni,Sargon II,SAA01.10.01.a,Raṣappa,LÚGAR.KUR URUra-ṣa-pa
P334499,Ilaʾi-Bel,Erra-gamil,undirected,Zeru-ibni,Sargon II,SAA01.10.01.a,Raṣappa,LÚGAR.KUR URUra-ṣa-pa
P334499,Ilaʾi-Bel,Nabu-šumu-uṣur,undirected,Zeru-ibni,Sargon II,SAA01.10.01.a,Raṣappa,LÚGAR.KUR URUra-ṣa-pa
P334583,Šamaš-abu-uṣur,Raʾiwanu,undirected,Šamaš-abu-uṣur,Governor (of Kalhu),SAA15.06.04.a,Northern Babylonia,
P334583,Šamaš-abu-uṣur,Bel-iddina,undirected,Šamaš-abu-uṣur,Governor (of Kalhu),SAA15.06.04.a,Northern Babylonia,
P334583,Šamaš-abu-uṣur,Mar-Zeri,undirected,Šamaš-abu-uṣur,Governor (of Kalhu),SAA15.06.04.a,Northern Babylonia,
P334583,Raʾiwanu,Bel-iddina,undirected,Šamaš-abu-uṣur,Governor (of Kalhu),SAA15.06.04.a,Northern Babylonia,
P334583,Raʾiwanu,Mar-Zeri,undirected,Šamaš-abu-uṣur,Governor (of Kalhu),SAA15.06.04.a,Northern Babylonia,
P334583,Raʾiwanu,Šamaš-abu-uṣur,undirected,Šamaš-abu-uṣur,Governor (of Kalhu),SAA15.06.04.a,Northern Babylonia,
P334583,Bel-iddina,Mar-Zeri,undirected,Šamaš-abu-uṣur,Governor (of Kalhu),SAA15.06.04.a,Northern Babylonia,
P334583,Bel-iddina,Šamaš-abu-uṣur,undirected,Šamaš-abu-uṣur,Governor (of Kalhu),SAA15.06.04.a,Northern Babylonia,
P334583,Bel-iddina,Raʾiwanu,undirected,Šamaš-abu-uṣur,Governor (of Kalhu),SAA15.06.04.a,Northern Babylonia,
P334583,Mar-Zeri,Šamaš-abu-uṣur,undirected,Šamaš-abu-uṣur,Governor (of Kalhu),SAA15.06.04.a,Northern Babylonia,
P334583,Mar-Zeri,Raʾiwanu,undirected,Šamaš-abu-uṣur,Governor (of Kalhu),SAA15.06.04.a,Northern Babylonia,
P334583,Mar-Zeri,Bel-iddina,undirected,Šamaš-abu-uṣur,Governor (of Kalhu),SAA15.06.04.a,Northern Babylonia,
P334831,Nabu-zeru-iddina,Ša-ili-dubbu,undirected,(unknown),Sargon II,SAA05.12.10.c,Northeastern Assyria,
P334831,Ša-ili-dubbu,Nabu-zeru-iddina,undirected,(unknown),Sargon II,SAA05.12.10.c,Northeastern Assyria,
P313420,Il-yadaʾ,Aššur-belu-taqqin,undirected,Il-yadaʾ,Sargon II,SAA15.06.01.a,Dur-Kurigalzu,LÚGAR.KUR BÀD.ANKI
P313420,Aššur-belu-taqqin,Il-yadaʾ,undirected,Il-yadaʾ,Sargon II,SAA15.06.01.a,Dur-Kurigalzu,LÚGAR.KUR BÀD.ANKI
P334696,Gadya,Šulmu-bel-ašme,undirected,(unknown),Sargon II,SAA15.04.03.c,Kar-Sharrukin,
P334696,Šulmu-bel-ašme,Gadya,undirected,(unknown),Sargon II,SAA15.04.03.c,Kar-Sharrukin,
P334904,Šarru,Ṭab-ṣil-Ešarra,undirected,Ṭab-ṣil-Ešarra,Sargon II,SAA01.04.01.b,Ashur,LÚGAR.KUR ŠÀ-URU
P334904,Šarru,Ṣululu,undirected,Ṭab-ṣil-Ešarra,Sargon II,SAA01.04.01.b,Ashur,LÚGAR.KUR ŠÀ-URU
